 01_56.000 frame=2900.jpeg
 01_57.480 frame=2937.jpeg
 02_00.960 frame=3024.jpeg
 02_02.320 frame=3058.jpeg
 02_04.520 frame=3113.jpeg
 02_06.280 frame=3157.jpeg
 02_13.800 frame=3345.jpeg
 02_15.960 frame=3399.jpeg
 02_47.640 frame=4191.jpeg
 02_48.320 frame=4208.jpeg
 04_07.080 frame=6177.jpeg
 04_08.240 frame=6206.jpeg
 04_26.360 frame=6659.jpeg
 04_26.840 frame=6671.jpeg
 04_37.319 frame=6933.jpeg
 04_49.199 frame=7230.jpeg
 05_41.360 frame=8534.jpeg
 05_44.560 frame=8614.jpeg
 06_57.840 frame=10446.jpeg
 06_59.600 frame=10490.jpeg
 06_59.640 frame=10491.jpeg
 07_18.400 frame=10960.jpeg
 07_19.800 frame=10995.jpeg
 08_05.240 frame=12131.jpeg
 08_20.760 frame=12519.jpeg
 08_25.240 frame=12631.jpeg
 08_34.080 frame=12852.jpeg
 08_42.320 frame=13058.jpeg
 08_50.800 frame=13270.jpeg
 08_50.879 frame=13272.jpeg
 09_15.200 frame=13880.jpeg
 10_00.200 frame=15005.jpeg
 18_26.759 frame=27669.jpeg
 18_35.880 frame=27897.jpeg
 19_09.039 frame=28726.jpeg
 19_22.920 frame=29073.jpeg
 19_36.240 frame=29406.jpeg
 19_42.680 frame=29567.jpeg
 19_51.840 frame=29796.jpeg
 20_11.840 frame=30296.jpeg
 20_40.759 frame=31019.jpeg
 20_58.279 frame=31457.jpeg
 21_17.160 frame=31929.jpeg
 21_47.960 frame=32699.jpeg
 21_55.720 frame=32893.jpeg
 24_56.000 frame=37400.jpeg
 25_23.120 frame=38078.jpeg
 26_16.560 frame=39414.jpeg
 26_33.800 frame=39845.jpeg
 26_55.640 frame=40391.jpeg
 29_19.519 frame=43988.jpeg
 29_41.400 frame=44535.jpeg
 29_50.240 frame=44756.jpeg
 30_20.080 frame=45502.jpeg
 30_29.200 frame=45730.jpeg
 30_41.840 frame=46046.jpeg
 31_14.759 frame=46869.jpeg
 31_38.600 frame=47465.jpeg
 32_03.560 frame=48089.jpeg
 32_28.080 frame=48702.jpeg
 32_42.480 frame=49062.jpeg
 33_36.160 frame=50404.jpeg
 37_01.720 frame=55542.jpeg
 37_05.800 frame=55644.jpeg
 37_08.039 frame=55700.jpeg
 37_12.240 frame=55805.jpeg
 37_36.240 frame=56405.jpeg
 37_49.440 frame=56735.jpeg
 38_06.960 frame=57173.jpeg
 38_15.599 frame=57389.jpeg
 38_44.599 frame=58114.jpeg
 39_13.640 frame=58840.jpeg
 39_24.360 frame=59108.jpeg
 40_22.240 frame=60555.jpeg
 40_55.840 frame=61395.jpeg
 42_44.640 frame=64115.jpeg
 42_57.079 frame=64426.jpeg
 43_07.960 frame=64698.jpeg
 43_20.760 frame=65018.jpeg
 43_35.440 frame=65385.jpeg
 44_02.079 frame=66051.jpeg
 44_30.599 frame=66764.jpeg
 44_39.800 frame=66994.jpeg
 44_58.960 frame=67473.jpeg
 45_04.280 frame=67606.jpeg
 45_17.400 frame=67934.jpeg
 46_14.200 frame=69354.jpeg
 47_06.720 frame=70667.jpeg
 47_31.360 frame=71283.jpeg
